source,url,file
Fakku,https://www.fakku.net/hentai/i-want-to-be-submissive-english,"anchira.to_1-1000/[Bowcan] I Want to Be Submissive! (Comic Kairakuten 2015-11).yaml"
Fakku,https://www.fakku.net/hentai/reversal-steady-english,"anchira.to_1-1000/[Bun] Reversal Steady (Comic Kairakuten 2016-08).yaml"
Fakku,https://www.fakku.net/hentai/selfie-girl-english,"anchira.to_1-1000/[Butcha-U] Selfie Girl (Comic Shitsurakuten 2016-06).yaml"
Fakku,https://www.fakku.net/hentai/immoral-flash-english,"anchira.to_1-1000/[Chika] Immoral Flash (Comic X-Eros #44).yaml"
Fakku,https://www.fakku.net/hentai/bo-charge-english,"anchira.to_1-1000/[Chimple Hotter] B.O. Charge! (Comic Shitsurakuten 2016-10).yaml"
Fakku,https://www.fakku.net/hentai/daddy-substitute-english,"anchira.to_1-1000/[Chobipero] Daddy Substitute (Comic Kairakuten 2015-09).yaml"
Fakku,https://www.fakku.net/hentai/chobipero-illustration-english,"anchira.to_1-1000/[Chobipero] Daddy Substitute Illustration (Comic Kairakuten 2015-10).yaml"
Fakku,https://www.fakku.net/hentai/do-it-with-both-of-us-english,"anchira.to_1-1000/[Chobipero] Do It With Both of Us (Comic Kairakuten 2016-06).yaml"
Fakku,https://www.fakku.net/hentai/good-stride-english,"anchira.to_1-1000/[Chobipero] Good Stride (Comic Kairakuten 2016-02).yaml"
Fakku,https://www.fakku.net/hentai/under-the-moonlit-night-english,"anchira.to_1-1000/[Chobipero] Under the Moonlit Night (Comic Kairakuten 2016-09).yaml"
Fakku,https://www.fakku.net/hentai/troublebybensemble-english,"anchira.to_1-1000/[Chouzetsu Bishoujo Mine] Trouble☆Ensemble (Comic Kairakuten 2016-06).yaml"
Fakku,https://www.fakku.net/hentai/as-the-young-lady-wishes-english,"anchira.to_1-1000/[co_mo] As the Young Lady Wishes (Comic X-Eros #43).yaml"
Fakku,https://www.fakku.net/hentai/memories-as-summer-draws-to-a-close-english,"anchira.to_1-1000/[co_mo] Memories as Summer Draws to a Close (Comic X-Eros #45).yaml"
Fakku,https://www.fakku.net/hentai/morning-kiss-english,"anchira.to_1-1000/[co_mo] Morning Kiss (Comic X-Eros #32).yaml"
Fakku,https://www.fakku.net/hentai/overflowing-with-fantasies-english,"anchira.to_1-1000/[co_mo] Overflowing with Fantasies (Comic X-Eros #36).yaml"
Fakku,https://www.fakku.net/hentai/sex-is-off-limits-english,"anchira.to_1-1000/[co_mo] Sex Is Off Limits ❤ (Comic X-Eros #41).yaml"
Fakku,https://www.fakku.net/hentai/sibling-tasting-english,"anchira.to_1-1000/[co_mo] Sibling Tasting (Comic X-Eros #47).yaml"
Fakku,https://www.fakku.net/hentai/rod-stealing-contest-english,"anchira.to_1-1000/[Curie] Rod-Stealing Contest (Comic Kairakuten 2015-08).yaml"
Fakku,https://www.fakku.net/hentai/the-proof-is-in-the-pudding-english,"anchira.to_1-1000/[Cuvie] The Proof Is in the Pudding (Comic Kairakuten BEAST 2016-12).yaml"
Fakku,https://www.fakku.net/hentai/fallen-angel-english,"anchira.to_1-1000/[Dagashi] Fallen Angel (Comic X-Eros #40).yaml"
Fakku,https://www.fakku.net/hentai/golden-days-english,"anchira.to_1-1000/[Dagashi] Golden Days (Comic X-Eros #47).yaml"
Fakku,https://www.fakku.net/hentai/woman-exposed-english,"anchira.to_1-1000/[Dagashi] Woman Exposed (Comic X-Eros #43).yaml"
Fakku,https://www.fakku.net/hentai/secret-double-service-english,"anchira.to_1-1000/[Dancyo] X-Eros Girls Collection #42꞉ Dancyo (Comic X-Eros #42).yaml"
Fakku,https://www.fakku.net/hentai/come-on-down-buy-your-slave-boy-english,"anchira.to_1-1000/[Dibi] Come on Down! Buy Your Slave Boy (Comic X-Eros #47).yaml"
Fakku,https://www.fakku.net/hentai/lovelybybsummoner-english,"anchira.to_1-1000/[Dicca Suemitsu] Lovely☆Summoner (Comic Kairakuten 2016-11).yaml"
Fakku,https://www.fakku.net/hentai/lovey-interview-english,"anchira.to_1-1000/[Dicca Suemitsu] Lovey Interview! (Comic Kairakuten 2016-09).yaml"
Fakku,https://www.fakku.net/hentai/slow-start-rocket-goal-english,"anchira.to_1-1000/[Dicca Suemitsu] Slow Start, Rocket Goal (Comic Kairakuten 2016-07).yaml"
Fakku,https://www.fakku.net/hentai/anekomori-2-big-sis-shut-in-english,"anchira.to_1-1000/[Distance] Anekomori 2 - Big Sis Shut-In (Comic X-Eros #30).yaml"
